QUEST_UNUSED_20150317_000001	なるほど、パードナーマスターへの道だな。武運を祈る！
QUEST_UNUSED_20151014_000440	その魔気を処理することが最優先なのですよ。{nl}あなたも協力していただけませんか？{nl}この件を解決することがあなたの能力の証明になり、同時に試験にもなり得ると思うのですが。
QUEST_UNUSED_20151014_000441	問題となっているのは峡谷地帯 36_1です。{nl}私が差し上げた浄化のロムーバを魔気の強い場所に立ててください。
QUEST_UNUSED_20151014_000442	成功したようですね。{nl}あなたに任せて正解でした。{nl}では、今度は私があなたをお手伝いいたしましょう。
QUEST_UNUSED_20151014_000443	いいだろう。これを持ってモチア森へ行くがいい。{nl}そこで接見人らしき人を見つけたら、自然に対話して彼の質問に合わせて合言葉を言うのだ。
QUEST_UNUSED_20151014_000444	魔族シュトリガイラ
QUEST_UNUSED_20151014_000445	ついに…ついに現れたか。{nl}私をギルティネ様のもとへ送ってくれる者が…。{nl}
QUEST_UNUSED_20151014_000446	お前に頼みがある。{nl}私を死へと導いてくれ。
QUEST_UNUSED_20151014_000447	柱に刻まれた文字
QUEST_UNUSED_20151014_000448	[クレロス伝記]
QUEST_UNUSED_20151014_000449	{nl}クレロスはある領主の家の長子として生まれた。{nl}しかし、継母の息子に継承権を奪われ、領地の外に追い出されてしまった。{nl}
QUEST_UNUSED_20151014_000450	失敗だらけの彼の人生はこうして始まる。{nl}行き場を失った彼は、知人の勧めで仕事を求めて旅立つことになった。{nl}
QUEST_UNUSED_20151014_000451	しかし、それもクレロスを売り払おうとする計略に過ぎなかった。{nl}彼は監禁されて死ぬまで働かされる奴隷の身に堕ちてしまったのだった。{nl}
QUEST_UNUSED_20151014_000452	そんなある日、ルクリスに救われて奴隷暮らしから脱却することになる。{nl}しかし、平和な日々は一時に過ぎなかった。{nl}
QUEST_UNUSED_20151014_000453	ルクリスが倒されたことで、彼の安らかな日々は再び苦難の日々へと転がり落ちて行ったのだ。
QUEST_UNUSED_20151014_000454	{nl}長い逃走生活が続いた。{nl}人生で成功したことなど、一つも無かった。{nl}
QUEST_UNUSED_20151014_000455	ついに彼は捕らわれてカレイマスに収監される。{nl}あの悪名高き監獄に何の希望があるというのか…。{nl}
QUEST_UNUSED_20151014_000456	彼はその地で最期まで苦しみ、ついに命を落としてしまう。
QUEST_UNUSED_20151014_000457	[クレロスの死、その後]
QUEST_UNUSED_20151014_000458	{nl}ここで話が終わるならば、ありがちな人生に失敗した男の物語だっただろう。{nl}
QUEST_UNUSED_20151014_000459	しかし、一説によると彼は今も魔族に拷問されているらしい。{nl}霊魂になってさえも…。{nl}
QUEST_UNUSED_20151014_000460	そのため、彼の人生に隠された秘密があるのだろうと語る人々もいる。{nl}しかし、どんな秘密なのか知る者は誰もいない。{nl}
QUEST_UNUSED_20151014_000461	柱に刻まれた文字
QUEST_UNUSED_20151014_000462	[ルンペルシュティルツヒェンと月]
QUEST_UNUSED_20151014_000463	{nl}{nl}夜空の月を追う小さな点を探してみてください。{nl}それは月に向かって飛ぶルンペルシュティルツヒェンなのですよ。{nl}
QUEST_UNUSED_20151014_000464	私たちが知っている通り、ルンペルシュティルツヒェンはリディア・シャッフェンとの賭けで月に向かって飛んで行きました。{nl}もう遥か昔のことです。{nl}
QUEST_UNUSED_20151014_000465	月に向かって中間地点ほどまで飛んできた時、ルンペルシュティルツヒェンはとても驚いてしまいました。{nl}自分が乗って飛んできたリディア・シャッフェンの矢が壊れかけていたからです。
QUEST_UNUSED_20151014_000466	[ルンペルシュティルツヒェンとリディア・シャッフェンの矢]
QUEST_UNUSED_20151014_000467	{nl}ルンペルシュティルツヒェンは自分が騙されたことに気付きました。{nl}もちろん、長い時間が経ったので、矢が壊れるのも当然だったのですが。{nl}
QUEST_UNUSED_20151014_000468	でも、それくらいのことならルンペルシュティルツヒェンの魔法でどうにかすることができました。{nl}リディア・シャッフェンの矢が壊れかけたのは、リディア・シャッフェンの矢に魔族に抵抗する力が込められていたからなのです。{nl}
QUEST_UNUSED_20151014_000469	そう。ルンペルシュティルツヒェンは魔族でした。{nl}魔族の力と矢の力がぶつかることで、ゆっくりと壊れ始めていたのです。{nl}
QUEST_UNUSED_20151014_000470	それに気付いたルンペルシュティルツヒェンはとても腹が立ちましたが、どうすることもできませんでした。
QUEST_UNUSED_20151014_000471	[ルンペルシュティルツヒェンはどこに]
QUEST_UNUSED_20151014_000472	{nl}ルンペルシュティルツヒェンは地上に戻れないまま、今も月に向かって飛び続けています。{nl}もしかしたら、もう戻ってリディア・シャッフェンが残した他の矢を探しているかもしれませんね。{nl}
QUEST_UNUSED_20151014_000473	この物語は人間にも、女神にも、魔族にも確認する方法はありません。{nl}もちろん月に行くことができれば確かになるでしょうね。
QUEST_UNUSED_20151014_000474	レオフォルダス
QUEST_UNUSED_20151014_000475	おや、君は啓示者だな？{nl}会えて光栄だ。{nl}
QUEST_UNUSED_20151014_000476	ああ、君のことならもちろん知っているぞ。{nl}我らケドラ商団に入って来ない情報はないからな。{nl}
QUEST_UNUSED_20151014_000477	我々は星の塔や大聖堂のような大型工事に資材を供給して来た由緒正しい商団なのだよ。{nl}何もかも女神の意志として受け入れ、歴史を裏から支えて来たとでも言おうか。{nl}
QUEST_UNUSED_20151014_000478	ああ、私は商団の新入団員の管理を任されていてな。{nl}神樹の日に莫大な被害を受けたので、新入りまで動員して被害復旧に取り組んでいるのだ。{nl}
QUEST_UNUSED_20151014_000479	どうだね。女神に従う者同士助け合わないか？{nl}同じ目的を持つのだから、君も我らケドラ商団の助力者のはずだろう？
QUEST_UNUSED_20151014_000480	それはありがたい。{nl}とりあえず、隣には私が担当する新入団員たちがいる。{nl}
QUEST_UNUSED_20151014_000481	少々厳しく仕事を教えているのだが、助け舟も必要だろう。{nl}君が少し手伝ってやってくれないか？{nl}
QUEST_UNUSED_20151014_000482	下の方へ行けばメリッサやマルゼリユスの仕事を手伝うこともできる。{nl}いくらベテランでもこの辺りのモンスターは手強いだろう。
QUEST_UNUSED_20151014_000483	ケドラ商団と言えども、難しい時期無いわけではない。{nl}今がその時だと言っても間違いではないだろう。{nl}
QUEST_UNUSED_20151014_000484	だからこそ、こうしてこのマナハースに注力しているのだよ。
QUEST_UNUSED_20151014_000485	では、頼んだぞ。{nl}君の実力ならば、難しくは無いはずだ。
QUEST_UNUSED_20151014_000486	ああ、その場所ならどんな聖物か分かる気がします。{nl}道具を使うよりも、とりあえず手で掘ってみてください。{nl}そして何か出て来たら、割れないように気を付けて持って来てくださいね。
QUEST_UNUSED_20151014_000487	特に難しくはないはずです。
QUEST_UNUSED_20151014_000488	割れないように気を付けてくださいね。
QUEST_UNUSED_20151014_000489	これは重要な記録や文書を残すために使われていた秘密インクが入っている瓶です。{nl}記録を隠す必要がある時にこのインクを使ったそうですよ。{nl}ありがとうございます。
QUEST_UNUSED_20151014_000490	アンタナス
QUEST_UNUSED_20151014_000491	こんにちは。{nl}私はネストス派のアンタナスだ。{nl}これまでにネストス派の者に会ったことはあるか？{nl}別に無くても構わないが。
QUEST_UNUSED_20151014_000492	{nl}ここにいるネストス派の人々は静かに自分の仕事に取り組んでいる。{nl}私はここで碑石を作っているんだ。{nl}だが、材料が足りなくてな。{nl}少し手伝ってくれないか？
QUEST_UNUSED_20151014_000493	材料は一つや二つじゃないんだ。{nl}よく聞いてくれ。{nl}モンスターから手に入る石灰の粉も必要だし、地面の石から石材用の石も集めなければならない。
QUEST_UNUSED_20151014_000494	{nl}かなり忙しくなると思うぞ。
QUEST_UNUSED_20151014_000495	頑張ってくれ！
QUEST_UNUSED_20151014_000496	おお、ありがたい。
QUEST_UNUSED_20151014_000497	ギエドラ
QUEST_UNUSED_20151014_000498	アンタナスに言われて来たんですか？{nl}私はネストス派のギエドラと言います。{nl}アンタナスに会ったなら、私たちがしていることについては聞いていると思うので、無駄な説明は省きますね。
QUEST_UNUSED_20151014_000499	{nl}私はここで女神の経典を作るための材料を集めています。{nl}普通の紙はすぐに黄ばんでもろくなってしまうので…今度は水にも強くて変色もしない材料を集めようと思っているんです。{nl}モンスターの透明な皮なら、うまく加工して文字を刻めば長持ちするはず。{nl}すみませんが、それを集めてもらえませんか？
QUEST_UNUSED_20151014_000500	よくある材料なので、手に入れるのは難しくないと思いますよ。
QUEST_UNUSED_20151014_000501	全部集めたら持って来てくださいね。
QUEST_UNUSED_20151014_000502	思ったよりも早かったですね。{nl}この皮はしっかり加工して経典にするつもりです。{nl}ありがとうございました。
QUEST_UNUSED_20151014_000503	ケスタス
QUEST_UNUSED_20151014_000504	ああ、僕の印…。あれが無きゃ僕がネストスなのかアナストスなのか証明できないのに…。{nl}全部失くしちゃった…モンスターに取られた…。{nl}もう僕はお終いだ…。{nl}巡礼を終えてパサカ峡谷に戻ろうと思ったのに…。데..
QUEST_UNUSED_20151014_000505	おおおお！{nl}どうか、僕を助けてください！{nl}ネストスの印が無くなっちゃったんです！
QUEST_UNUSED_20151014_000506	{nl}あれがない、ない、ないんです！{nl}探してください！{nl}モンスター持って行ったに違いありません！
QUEST_UNUSED_20151014_000507	ああ、どうしよう…。{nl}僕はもうお終いだ…。ネストス派の先生たちに合わせる顔がない…。
QUEST_UNUSED_20151014_000508	それです！全部集めてくれたんですね！{nl}ありがとうございます！{nl}このご恩をどう返せば良いやら…。
QUEST_UNUSED_20151014_000509	それは…、大地の要塞のモンスターから手に入れたのですか？{nl}これはその昔、ルクリス部隊の兵士たちが持っていた物なんです。{nl}
QUEST_UNUSED_20151014_000510	持って来ていただいた物は、我々騎士団の研究に役立つでしょう。{nl}もっと集めることはできませんか？
QUEST_UNUSED_20151014_000511	大地の要塞にいるモンスターたちがこんな物を持っているなんて…。{nl}とても興味深いですね。
QUEST_UNUSED_20151014_000512	これだけあれば十分です。{nl}我々の研究にご協力いただきありがとうございました。
QUEST_UNUSED_20151014_000513	どうしました？{nl}これを私にくれるんですか？{nl}
QUEST_UNUSED_20151014_000514	驚きました。昔の兵士たちの生活像が描かれていますよ。{nl}すぐにこの資料を騎士団本部へ送らなければ。{nl}
QUEST_UNUSED_20151014_000515	感謝の印に本のコピーを差し上げます。{nl}少々荒い言葉で書かれていますが、我々は過去の真相を知らせることが目的ですから。
QUEST_UNUSED_20151014_000516	やめろ！！！{nl}どうか、その指輪だけは奪わないで…！！！
QUEST_UNUSED_20151014_000517	それは爆弾だけど…不発弾かな？{nl}ちょっと見せてくれよ。
QUEST_UNUSED_20151014_000518	これはかなり古い形だぞ！{nl}本でしか見たことないような爆弾だ。
QUEST_UNUSED_20151014_000519	ルクリス部隊員の霊魂
QUEST_UNUSED_20151014_000520	部隊員たちに退却命令を出せませんでした。{nl}ラッパを吹かなければならないのに…。
QUEST_UNUSED_20151014_000521	退却させなければ、全滅してしまいます。{nl}絶対にラッパを…。
QUEST_UNUSED_20151014_000522	ありがとうございます。あなたはどこの所属でしょうか？{nl}私ももうルクリス様のもとへ戻らなければ…。
QUEST_UNUSED_20151014_000523	待って！私の話を聞いてください。{nl}この人、他人の家の家宝を返してほしければ祝福された水晶を出せって言ってきたんです。{nl}
QUEST_UNUSED_20151014_000524	最初にでたらめ修正を与えて人命まで失わせてノッでは言葉です。{nl}下、真実。そうしたら今はもっと甚だしくて粥は人までブルロだ尋ねて見られと言う。{nl}
QUEST_UNUSED_20151014_000525	じゃあどうやって呼ぶんだって聞いたら、自分から亡者スクロールを買えって言うんです。{nl}しかも、値段を尋ねたらモンスターを倒して青い塗料を代金として払えですって！{nl}
QUEST_UNUSED_20151014_000526	きっとこの年寄り詐欺師は私が青い塗料を集めている間に逃げる気なんですよ！{nl}ちょっと手伝ってもらえませんか？！
QUEST_UNUSED_20151014_000527	ありがとうございます！！！{nl}…興奮して話が分かりにくかったかもしれませんね。整理して説明します。{nl}私はスクワイアマスターであるユスティナ・ルグィンの友人、ウィリアと申します。{nl}
QUEST_UNUSED_20151014_000528	あのパードナーが言っている死者というのは、ユスティナの父である{nl}ガイリュス・ルグィン様のことなんです。{nl}失踪したガイリュス様が亡くなったなんて言うだけでも驚きなのに、あの態度…！{nl}
QUEST_UNUSED_20151014_000529	あの老人、ルグィン家の家宝を遺族に返すと言いながら、自分の私利私欲を満たそうとしているんです。{nl}本当に可哀想なユスティナ…。{nl}
QUEST_UNUSED_20151014_000530	青い塗料はアブガウディン三叉路のモンスターから手に入るはずです。{nl}どうか、お願いしますね。
QUEST_UNUSED_20151014_000531	あの小娘はあの亡者スクロールがどれだけ高価だか分かっておらん…。{nl}本当にもったいないが…もういいんだ。{nl}
QUEST_UNUSED_20151014_000532	気の毒な人を助けようとしてこんな辱めを受けるなんて、耐えられん。{nl}これでガイリュスを探して直接聞いてみるんだな！{nl}
QUEST_UNUSED_20151014_000533	ミレス墓地の封印を探せ。{nl}あいつ、その辺りで力尽きたって話だ。
QUEST_UNUSED_20151014_000534	この詐欺師は祝福された水晶を返してもらうまで諦める気がないみたいなんです。{nl}本当に欲深いですよね。
QUEST_UNUSED_20151014_000535	ああ、女神よ！{nl}こんな場所で人に会えるなんて…。{nl}
QUEST_UNUSED_20151014_000536	どうか、助けてください。{nl}私は星の塔からの追撃者や魔族に追われているんです。{nl}
QUEST_UNUSED_20151014_000537	私が信号弾で仲間たちに知らせる間、傍にいてもらえませんか？{nl}ここに一緒に来た二人の仲間に、私がまだ生きていることを知らせたいんです。
QUEST_UNUSED_20151014_000538	追撃者がここまで…。{nl}あなたがいなければ、大変なことになっていたでしょう。
QUEST_UNUSED_20151014_000539	お前は…まるで女神たちがお前の傍にいるようだな。{nl}あの目障りなギルティネよりはましだろう。{nl}
QUEST_UNUSED_20151014_000540	我は魔将ホーバーク。{nl}もしかしたら、もうお前は我の別の欠片に会っているかもしれぬ。{nl}だが、その欠片は我とは別物。我はお前が誰かは知らぬ…。{nl}
QUEST_UNUSED_20151014_000541	我はこのアガタスという人間を使って魔族から逃げていた。{nl}しかし、アガタスが魔族の麻痺毒にやられて、こうして死にかけている。{nl}
QUEST_UNUSED_20151014_000542	お前が我を信用できないことは分かっている。{nl}だが、この善良な巡礼者だけは助けてやってくれ。{nl}お前がダークブルーハーブを手に入れてくれば助けられるはずだ。
QUEST_UNUSED_20151014_000543	(気を失ったようだ。)
QUEST_UNUSED_20151014_000544	これがあればアガタスを助けることができる。{nl}しかし、お前の善意に報いる方法が無いな。{nl}
QUEST_UNUSED_20151014_000545	お前の眼に我は倒すべき魔族として映るだろう。{nl}だが、アガタスが目覚めれば、何もかも説明してくれるはずだ。
QUEST_UNUSED_20151014_000546	カリス騎士団だって？なるほどね。{nl}大地の要塞は王国軍が多くて簡単には入れないんだ。{nl}でも、あたいの計画を手伝うなら、一緒に連れて行ってやってもいいよ。{nl}
QUEST_UNUSED_20151014_000547	それで…さっきの秘密の話なんだけどさ…。{nl}
QUEST_UNUSED_20151014_000548	大地の要塞はルクリスが女神から授かった宝石を守るために造ったって説があるんだよ。{nl}
QUEST_UNUSED_20151014_000549	考えてみな。おかしいだろ？{nl}アリの巣みたいに地面を掘って作った穴を王国軍が必死に守ってるんだよ。{nl}
QUEST_UNUSED_20151014_000550	反乱は400年前のことで、今は神樹の日だ何だって兵力も不足してるのにさ。{nl}この街もそう。いくら歴史的に意味があるとしても、あそこまで守る必要があるのかってこと。{nl}
QUEST_UNUSED_20151014_000551	何だか王国の裏で真っ黒い取引でも行われてるんじゃないかと思ってね。{nl}そうでなけりゃ、何のためにあんな穴蔵を守る必要がある？{nl}
QUEST_UNUSED_20151014_000552	カリス騎士団はそこに注目してて、何があるのか知りたがってる。{nl}あいつらは大地の要塞だけ調査してるなら好きに動いても見ないふりをしてくれるんだ。{nl}
QUEST_UNUSED_20151014_000553	ああ、もちろんあたいはルクリスの宝を探しに行くよ。{nl}女神から授かった宝なら、それはもう凄い物だろうからね。{nl}
QUEST_UNUSED_20151014_000554	とにかく、あたいと一緒に行くんだろ？{nl}まずは集結地にあるルクリス時代の記録物を集めてよ。{nl}そこを守ってるガーゴイルを片付けるには必要だからね。
QUEST_UNUSED_20151014_000555	ボコル ユタ
QUEST_UNUSED_20151014_000556	私は女神ジェミナの行方を探しています。{nl}女神が行方不明になったことは誰でも知っていることでしょう。{nl}
QUEST_UNUSED_20151014_000557	女神が真理の樹教団を祝福したという噂をを聞いてここまで来たんですけど…。{nl}亡者たちでいっぱいですね。{nl}
QUEST_UNUSED_20151014_000558	もしこの墓地にしばらくいるつもりなら、少し手伝ってもらえませんか？{nl}ここの亡者たちは私の力でもどうにもできないし、モンスターは祈りの声を聞いただけで{nl}襲いかかって来るんですよ。{nl}
QUEST_UNUSED_20151014_000559	女神に祈りを捧げれば、この辺りにいらっしゃるか確認できるのに…。
QUEST_UNUSED_20151014_000560	本当ですか？お言葉だけでも嬉しいです。{nl}実を言うと一人では祈るのも一苦労だったんですよ。{nl}
QUEST_UNUSED_20151014_000561	では、入棺の間の亡者たちをお願いします。{nl}その間に、私は女神がどこにいらっしゃるのか、祈りを捧げてみますね。
QUEST_UNUSED_20151014_000562	ここなら女神ジェミナの行方を追えるかもと思ったのに、亡者たちでいっぱいだなんて…。{nl}こんなの初めて見ました。早くジェミナ様を見つけなきゃいけないのに。
QUEST_UNUSED_20151014_000563	ああ、お帰りなさい。{nl}おかげ様で祈りを捧げる間はモンスターに襲われずに済みました。{nl}
QUEST_UNUSED_20151014_000564	でも、ここでも女神への祈りは届かないみたいです…。
QUEST_UNUSED_20151014_000565	ドルイド レヤ
QUEST_UNUSED_20151014_000566	ちょっと、そこのあなた。{nl}こんな人気の無い森に来るなんて何者ですか？{nl}ああ、誰でも構いません。私に力を貸してください。{nl}
QUEST_UNUSED_20151014_000567	私はこの森で暮らすドルイドのレヤ。{nl}村を襲って食糧を奪ったフェレットを追っていてここまで来たんです。{nl}でも、食糧を取り戻すどころか、逆にフェレットたちに攻撃されて…。{nl}
QUEST_UNUSED_20151014_000568	村へ戻る前に傷の治療をしたいんですが…。{nl}あの上に登ると傷に効く薬草があるんです。その薬草を取って来てください。
QUEST_UNUSED_20151014_000569	薬草を採集していたら、フェレットたちが攻撃してくるかもしれません。{nl}いつからかこの森の全てが自分たちの物だと考えるようになったみたいなんです。
QUEST_UNUSED_20151014_000570	村の住民
QUEST_UNUSED_20151014_000571	啓示者様、赤く染まった水を飲んだことはありますか？{nl}きっと飲んだならこの場に立って私と話すことも不可能だったと思いますよ。{nl}いくら喉が乾いていても、赤く染まった水は絶対に飲まないでください。飲んだら死ぬほど苦しむことになりますから。{nl}あの水で育った巨大果実も食べられないくらいなんです。{nl}でも、フェレットたちは何故か巨大果実の汁を水の代わりに飲んでるみたいなんですよね。{nl}
QUEST_UNUSED_20151014_000572	昔、森で道に迷ったことがあったんですけど、死ぬほど喉が渇いていたんです。{nl}その時に果汁入れを持ち歩いていたフェレットに出会って…。{nl}喉が渇いて死ぬのも、果実を食べて死ぬのも、フェレットに噛まれて死ぬのも同じでしょう？{nl}だから自棄になってフェレットが持ってた果汁を奪って飲んでみたんですけど…何ともありませんでした。{nl}
QUEST_UNUSED_20151014_000573	もう溜めておいた飲み水も底をつきかけているので、どうにかしないといけないんです。{nl}フェレットたちから巨大果実の汁を集めてもらえませんか？お願いします。
QUEST_UNUSED_20151014_000574	驚いたことに、死ぬ気で飲んだ果汁が想像以上に美味しかったんです。
QUEST_UNUSED_20151014_000575	わあ、ありがとうございます。これだけあればしばらくは飲み水の心配をしなくて良さそうですね。
QUEST_UNUSED_20151014_000576	ドルイド べネス
QUEST_UNUSED_20151014_000577	ああ…こんなところで人に会えるなんて！どうか、力を貸してください！{nl}私はドルイドのべネスと申します。フェレットたちが魔族側に同調する理由を調べているんですよ。{nl}ドルイドの呪術を使えばフェレットに変身することができます。もちろん、フェレットと話すこともできますよ。{nl}
QUEST_UNUSED_20151014_000578	問題はこれまでの過程でフェレットと接触しすぎたせいで、私の匂いを覚えられてしまったことなんです。{nl}フェレットに変身しても、私が人間だと分かっているので話してくれなくて…。{nl}私の代わりにフェレットに変身して、彼らの目的を調べてみてもらえませんか？{nl}
QUEST_UNUSED_20151014_000579	フェレットに変身するにはフェレットの行動をよく観察する必要があります。{nl}不自然な行動をすれば、フェレットたちに気付かれてしまいますから。{nl}私が白紙の呪文書をお渡しするので、ここにフェレットの行動をメモしてください。
QUEST_UNUSED_20151014_000580	観察した内容をもとにフェレット変身の呪文書を作るつもりです。{nl}ですので、できるだけ詳しく書いてくださいね。変身しても不自然にならないように。
QUEST_UNUSED_20151014_000581	しっかり観察できましたね。{nl}これなら変身しても特に問題なさそうです。{nl}ちょっと待ってください。
QUEST_UNUSED_20151014_000582	シャーマンドール[ボコル転職]
QUEST_UNUSED_20151014_000583	倒れている傭兵の遺体
QUEST_UNUSED_20151014_000584	どうすれば良いのか尋ねる
QUEST_UNUSED_20151014_000585	自分でやって
QUEST_UNUSED_20151014_000586	リディア・シャッフェンとフレッチャーの矢[フレッチャー転職]
QUEST_UNUSED_20151014_000587	矢を探す
QUEST_UNUSED_20151014_000588	自信が無いからやめる
QUEST_UNUSED_20151014_000589	モンスターをどうやって馴らすのか尋ねる
QUEST_UNUSED_20151014_000590	あり得ない
QUEST_UNUSED_20151014_000591	一発必中[シュヴァルツライター転職]
QUEST_UNUSED_20151014_000592	自信がある
QUEST_UNUSED_20151014_000593	そんなことはない
QUEST_UNUSED_20151014_000594	届ける
QUEST_UNUSED_20151014_000595	怪しいので断る
QUEST_UNUSED_20151014_000596	帳簿を持って来る
QUEST_UNUSED_20151014_000597	今度また来る
QUEST_UNUSED_20151014_000598	解決する
QUEST_UNUSED_20151014_000599	考える時間がほしい
QUEST_UNUSED_20151014_000600	誰かの記録
QUEST_UNUSED_20151014_000601	黒い粉を払っています
QUEST_UNUSED_20151014_000602	柱から黒い粉が落ちると、それを見たモンスターたちが集まって来ます！
QUEST_UNUSED_20151014_000603	黒い粉を払ったら、記録のような物が見えます！
QUEST_UNUSED_20151014_000604	何かが刻まれた柱
QUEST_UNUSED_20151014_000605	神秘的な光を発する結晶の光が十分でないようです。{nl}神秘的な光を発する結晶が十分な光を放てるよう、周辺のモンスターからからモンスターの油を集めてください！
QUEST_UNUSED_20151014_000606	モンスターの油を集めないと文字を読めません！
QUEST_UNUSED_20151014_000607	もう一度調べています
QUEST_UNUSED_20151014_000608	神秘的な光を発する結晶が、とても強い光を放ち始めます！
QUEST_UNUSED_20151014_000609	柱の秘密は3つの数字
QUEST_UNUSED_20151014_000610	柱を調べています
QUEST_UNUSED_20151014_000611	柱の近くに立ってどこかで手に入れた数字を言ってみましょう！
QUEST_UNUSED_20151014_000612	柱の文字を読んでいます
QUEST_UNUSED_20151014_000613	柱に刻まれた人物
QUEST_UNUSED_20151014_000614	暗くてよく見えません！周辺で光るコケを採取してください！
QUEST_UNUSED_20151014_000615	柱の文字を読んでいます
QUEST_UNUSED_20151014_000616	光るコケのおかけで文字を読めるようになりました！
QUEST_UNUSED_20151014_000617	柱の文字は何？
QUEST_UNUSED_20151014_000618	柱が崩れてしまいました！{nl}モンスターからこの柱を修理できそうな粘性のある液体を集めてください！
QUEST_UNUSED_20151014_000619	粘性のある液体を集めてください！
QUEST_UNUSED_20151014_000620	柱を修理しています
QUEST_UNUSED_20151014_000621	文字を読める状態になりました！
QUEST_UNUSED_20151014_000622	柱の欠片を探す
QUEST_UNUSED_20151014_000623	欠片をはめ込んでいます
QUEST_UNUSED_20151014_000624	聖物収集(4)
QUEST_UNUSED_20151014_000625	発掘して来る
QUEST_UNUSED_20151014_000626	聖物を発掘しています
QUEST_UNUSED_20151014_000627	聖物を発見しました！
QUEST_UNUSED_20151014_000628	集めてみる
QUEST_UNUSED_20151014_000629	もう入る道は無い
QUEST_UNUSED_20151014_000630	ルクリス部隊に関する物語が書かれています。
QUEST_UNUSED_20151014_000631	退却命令
QUEST_UNUSED_20151014_000632	旅の始まり(1)
QUEST_UNUSED_20151014_000633	旅の始まり(2)
QUEST_UNUSED_20151014_000634	旅の始まり(3)
QUEST_UNUSED_20151014_000635	教えてほしい
QUEST_UNUSED_20151014_000636	あとで聞く
QUEST_UNUSED_20151014_000637	旅の始まり(4)
QUEST_UNUSED_20151014_000638	オルシャ(1)
QUEST_UNUSED_20151014_000639	行ってみる
QUEST_UNUSED_20151014_000640	他に用がある
QUEST_UNUSED_20151014_000641	オルシャ(2)
QUEST_UNUSED_20151014_000642	待ってほしい
QUEST_UNUSED_20151014_000643	オルシャ(3)
QUEST_UNUSED_20151014_000644	会ってみる
QUEST_UNUSED_20151014_000645	感謝を込めて
QUEST_UNUSED_20151014_000646	絶対に渡したい
QUEST_UNUSED_20151014_000647	森で道に迷う(1)
QUEST_UNUSED_20151014_000648	森で道に迷う(2)
QUEST_UNUSED_20151014_000649	すぐに行って来る
QUEST_UNUSED_20151014_000650	明りを灯しています
QUEST_UNUSED_20151014_000651	持ち主のいない物
QUEST_UNUSED_20151014_000652	見て来る
QUEST_UNUSED_20151014_000653	必要無さそうだ
QUEST_UNUSED_20151014_000654	安全でない安全地帯
QUEST_UNUSED_20151014_000655	休めない移住民
QUEST_UNUSED_20151014_000656	待っていれば来るはず
QUEST_UNUSED_20151014_000657	消えた司教(1)
QUEST_UNUSED_20151014_000658	消えた司教(2)
QUEST_UNUSED_20151014_000659	消えた司教(3)
QUEST_UNUSED_20151014_000660	消えた司教(5)
QUEST_UNUSED_20151014_000661	消された痕跡を探す
QUEST_UNUSED_20151014_000662	燃えてしまった行方(1)
QUEST_UNUSED_20151014_000663	燃えてしまった行方(2)
QUEST_UNUSED_20151014_000664	消された痕跡を探す(5)
QUEST_UNUSED_20151014_000665	消された痕跡を探す(6)
QUEST_UNUSED_20151014_000666	情報員の激務
QUEST_UNUSED_20151014_000667	匂い消し
QUEST_UNUSED_20151014_000668	方向転換
QUEST_UNUSED_20151014_000669	モンスター群落(1)
QUEST_UNUSED_20151014_000670	モンスター群落(2)
QUEST_UNUSED_20151014_000671	大規模捜索(1)
QUEST_UNUSED_20151014_000672	大規模捜索(2)
QUEST_UNUSED_20151014_000673	大規模捜索(3)
QUEST_UNUSED_20151014_000674	大規模捜索(4)
QUEST_UNUSED_20151014_000675	大規模捜索(5)
QUEST_UNUSED_20151014_000676	大規模捜索(6)
QUEST_UNUSED_20151014_000677	補助活動
QUEST_UNUSED_20151014_000678	怪しい場所
QUEST_UNUSED_20151014_000679	事前調査(1)
QUEST_UNUSED_20151014_000680	事前調査(2)
QUEST_UNUSED_20151014_000681	汚染されたモンスター
QUEST_UNUSED_20151014_000682	お金よりも大事な命
QUEST_UNUSED_20151014_000683	元手回収
QUEST_UNUSED_20151014_000684	危険な手がかり(1)
QUEST_UNUSED_20151014_000685	危険な手がかり(2)
QUEST_UNUSED_20151014_000686	危険な手がかり(3)
QUEST_UNUSED_20151014_000687	ウルボナスの行方(1)
QUEST_UNUSED_20151014_000688	ウルボナスの行方(2)
QUEST_UNUSED_20151014_000689	ウルボナスの行方(3)
QUEST_UNUSED_20151014_000690	ウルボナスの行方(4)
QUEST_UNUSED_20151014_000691	ウルボナスの行方(5)
QUEST_UNUSED_20151014_000692	ウルボナスの行方(6)
QUEST_UNUSED_20151014_000693	ウルボナスの行方(7)
QUEST_UNUSED_20151014_000694	仕事は確実に
QUEST_UNUSED_20151014_000695	新たな敵
QUEST_UNUSED_20151014_000696	魔族の包み(1)
QUEST_UNUSED_20151014_000697	魔族の包み(2)
QUEST_UNUSED_20151014_000698	掌中へ(5)
QUEST_UNUSED_20151014_000699	掌中へ(6)
QUEST_UNUSED_20151014_000700	万が一(1)
QUEST_UNUSED_20151014_000701	万が一(2)
QUEST_UNUSED_20151014_000702	追い出す
QUEST_UNUSED_20151014_000703	囚人募集
QUEST_UNUSED_20151014_000704	さらに深い場所で(1)
QUEST_UNUSED_20151014_000705	さらに深い場所で(2)
QUEST_UNUSED_20151014_000706	さらに深い場所で(3)
